NOTE: THIS SPREADSHEET IS FREE - you have to USE the FILE Menu: MAKE A COPY to get your own copy free!,,,,,,,,,,,,,,,,,,
Source: SpreadsheetMan,,SpreadsheetMan Wine Bottle Inventory Tracker,,,,,,,,,,,,,,,,
12/28/2019,Producer,Type / Varietal,Vintage,Name,Vineyard,Country,Region,sub-region,town/village,Bottles owned,purchase date,Bottle Size,Comment,buying and tasting notes,WS Rtg,RP Rtg,WS Timing,RP Timing
,A. Rafanelli,Zinfandel,1993,Dry Creek Valley,,US,CA,Sonoma County,Dry Creek Valley,2,,750 ml,,bought 1/96,,,,
,Alexander Valley ,Cab-Sauv,1992,,,US,CA,Alexander Valley,,1,,750 ml,,,,,,
,Anderson's Conn Valley,Cab-Sauv,1991,Estate Reserve,,US,CA,Napa,St. Helena,2,,750 ml,,,,,,
,Anderson's Conn Valley,Cab-Sauv,1992,Estate Reserve,,US,CA,Napa,St. Helena,2,,750 ml,,,,,,
,Arrowfield,Cab-Merl,1991,,,Australia,South Eastern,,,1,,750 ml,,,,,,
,Beaulieu Vineyard,Cab-Sauv,1991,Rutherford,,US,CA,Napa,,11,,750 ml,,,87,,,
,Beaulieu Vineyard,Cab-Sauv,1992,Rutherford,,US,CA,Napa,,1,,750 ml,,,,,,
,Benzinger,Cab-Sauv,1992,[Signed Bottle],,US,CA,Sonoma Cnty,,1,,750 ml,,,,,,
,Beringer,Cab-Sauv,1982,Proprieter's Grown,,US,CA,Napa,,0,,750 ml,,,,,,
,Beringer,Cab-Sauv,1991,Private Reserve,,US,CA,Napa,St. Helena,2,,750 ml,,,,,,
,Bodegas Esmeralda,Cab-Sauv,1992,Catena Estate Bottled,Agrelo ,Argentina,Mendoza?,,,1,,750 ml,,,,,,
,Caymus,Cab-Sauv,1990,,,US,CA,Napa,,1,,750 ml,,,93,,,
,Ch.Canon la Gaffeliere,Bordeaux,1989,,,France,Saint Emilion,,,1,,750 ml,,,,89,,1995-2002
,Ch.Cantenac Brown,Bordeaux,1985,,,France,Maraux,,,1,,750 ml,,,,,,
,Ch.Clerc Milon,Bordeaux,1989,,,France,Paullac,,,1,,750 ml,,,96,90,1999+,1993-2010
,Ch.Clos Du Marquis,Bordeaux,1990,,,France,Saint Julien,,,1,,750 ml,,,,88,,1995-2006
,Ch.d'Armailhac,Bordeaux,1990,,,France,Paulliac,,,1,,750 ml,,,89,85,1997+,1994-2003
,Ch.De Carles,Bordeaux,1990,,,France,Fronsac,,,2,,750 ml,,,,86,,1994-2000
,Ch.De Fieuzal,Bordeaux,1989,,,France,Pessac-Leognan,,,1,,750 ml,,,95,87,1998+,1994-2010
,Ch.De Pez,Bordeaux,1986,,,France,Saint Estephe,,,1,,750 ml,,,,,,
,Ch.De Pez,Bordeaux,1990,,,France,Saint Estephe,,,13,,750 ml,,,,,,
,Ch.Greysac,Bordeaux,1988,,,France,Medoc,,,1,,750 ml,,,,,,
y,Ch.Haut Batailley,Bordeaux,1989,,,France,Paulliac,,,1,,750 ml,,,,87,,1994-2006
y,Ch.Haut Sociando,Bordeaux,1990,,,France,Ctes De Blaye,,,1,,750 ml,,,,85,,1994-1999
,Ch.Hortevie,Bordeaux,1990,,,France,Saint Julien,,,3,,750 ml,,,,86,,1994-1999
,Ch.Jonqueyres,Bordeaux,1990,,,France,Bordeaux Superior,,,1,,750 ml,,,,89,,1993-2003
,Ch.La Cardonne,Bordeaux,1990,,,France,Medoc,,,2,,375 ml,,,,,,
,Ch.La Croix du Casse,Bordeaux,1989,,,France,Pomerol,,,1,,750 ml,,,,87,,1993-1998
,Ch.La Tonnelle,Bordeaux,1990,,,France,Cotes de Blaye,,,2,,750 ml,,,,,,
,Ch.La Vielle Cure,Bordeaux,1990,,,France,Fronsac,,,6,,750 ml,,"RP ""Deadringer for a top Pomerol...""",,88,,1995-2002
,Ch.Labergorce Zede,Bordeaux,1989,,,France,Margaux,,,1,,750 ml,,,,87,,1993-2005
,Ch.LaRose-Trintaudon,Bordeaux,1989,,,France,Haut-Medoc,,,1,,750 ml,,,,82,,1993-1997
,Ch.LaRose-Trintaudon,Bordeaux,1990,,,France,Haut-Medoc,,,9,,750 ml,,,,86,,1993-1999
,Ch.LaRose-Trintaudon,Bordeaux,1990,,,France,Haut-Medoc,,,2,,375 ml,,,,86,,1993-1999
,Ch.Leoville Poyferre,Bordeaux,1990,,,France,Saint Julien,,,1,,750 ml,,,,92,,1996-2025
y,Ch.Lynch Bages,Bordeaux,1989,,,France,Pauillac,,,1,,375 ml,,,,,,
,Ch.Mazeris,Bordeaux,1990,,,France,Canon Fronsac,,,2,,750 ml,,,,87,,1995-2005
,Ch.Meyney,Bordeaux,1986,,,France,Saint Estephe,,,3,,750 ml,,,,91,,
,Ch.Meyney,Bordeaux,1987,,,France,Saint Estephe,,,1,,750 ml,,,,,,
,Ch.Meyney,Bordeaux,1989,,,France,Saint Estephe,,,1,,750 ml,,,,,,
y,Ch.Meyney,Bordeaux,2009,,,France,Saint Estephe,,,1,,750 ml,,,,,,
,Ch.Montrose,Bordeaux,1989,,,France,Saint Estephe,,,1,,750 ml,,,95,,1997+,
,Ch.Palmer,Bordeaux,1986,,,France,Margaux,,,1,,750 ml,,,94,90,,
,Ch.Prieure-Lichine,Bordeaux,1989,,,France,Margaux,,,1,,750 ml,,,,88,,1993-2005
,Ch.Sociando-Mallet,Bordeaux,1989,,,France,Haut-Medoc,,,3,,750 ml,,,90,,1995+,
,Ch.Talbot,Bordeaux,1983,,,France,Saint-Julien,,,1,,750 ml,,,90,91,1994+,
,Ch.Talbot,Bordeaux,1985,,,France,Saint-Julien,,,3,,750 ml,,,90,89,1997+,
y,Ch.Talbot,Bordeaux,1985,,,France,Saint-Julien,,,2,,375 ml,,,90,89,1997+,
,Ch.Talbot,Bordeaux,1986,,,France,Saint-Julien,,,4,,750 ml,,,91,96,1994-2000+,
,Ch.Talbot,Bordeaux,1988,,,France,Saint-Julien,,,8,,750 ml,,,90,89,,1995-2015
,Ch.Talbot,Bordeaux,1989,,,France,Saint-Julien,,,1,,750 ml,,Gave 1 bottle to John Vigilante - 11/95,90,88,1997+,1994-2015
y,Ch.Talbot,Bordeaux,2005,,,France,Saint-Julien,,,2,,750 ml,,,,,,
y,Ch.Talbot,Bordeaux,2010,,,France,Saint-Julien,,,2,,750 ml,,,,,,
y,Ch.Talbot,Bordeaux,2016,,,France,Saint-Julien,,,2,,750 ml,,,,,,
,Ch.Tertre Daugay,Bordeaux,1989,,,France,Saint Emilion,,,1,,750 ml,,,,87,,1993-2005
,Ch. Val Joanis,Claret,1992,,,France,Cotes Du Luberon,,,2,,750 ml,,bought 1/96,,,,
,Chateau Reynella,Shiraz,1994,Basket Pressed,,Australia,McLaren Vale,,,2,,750 ml,,WS Best buy,90+,,,
,Chateau Souverain,Cab-Sauv,1990,,,US,CA,Alexander Valley,,15,,750 ml,,,,,,
,Chateau Souverain,Cab-Sauv,1991,,,US,CA,Alexander Valley,,1,,750 ml,,,85,,,
,Chateau Souverain,Cab-Sauv,1991,Alexander Valley,,US,CA,Alexander Valley,,1,,3 liter,,,,,,
,Chateau Souverain,Cab-Sauv,1992,,,US,CA,Alexander Valley,,1,,750 ml,,,87,,,
,Chimney Rock,Cab-Sauv,1990,,,US,CA,,,14,,750 ml,,,85,,,
,Clos Du Bois,Merlot,1992,,,US,CA,Sonoma,,0,,750 ml,,,,,,
,Cos D'Estournel,Bordeaux,1988,,,France,Saint Estephe,,,1,,750 ml,,,95,,1998+,
,DeLoach,Zinfandel,1994,Papera Ranch,Papera Ranch,US,CA,Sonoma County,Russian River Valley,1,,750 ml,,bought 1/96,,,,
,DeLoach,Zinfandel,1994,Pelletti Ranch,Pelletti Ranch,US,CA,Sonoma County,Russian River Valley,1,,750 ml,,bought 1/96,,,,
,DeLoach,Zinfandel,1994,Gambogi Ranch,Gambogi Rnch,US,CA,Sonoma County,Russian River Valley,2,,750 ml,,bought 1/96,,,,
,DeLoach,Zinfandel,1994,,,US,CA,Sonoma County,Russian River Valley,2,,750 ml,,bought 1/96,,,,
,Domaine St. George,Cab-Sauv,1991,Vintage Reserve,,US,CA,Sonoma County,,1,,750 ml,,,,,,
,Domaine Capion,Merlot,1994,,,France,Languedoc,D'oc,,2,,750 ml,,,,,,
y,Dominus Estate,Cab-Sauv,1987,,,US,CA,Napa Valley,,2,,750 ml,,,,,,
,Estancia Estates,Cab-Sauv,1991,,,US,CA,Alexander Valley,,1,,750 ml,,,,,,
,Frog's Leap,Zinfandel,1994,,,US,CA,Napa Valley,Rutherford,2,,750 ml,,,,90,,Now-2000
,Foppiano,Petite Sirah,1992,Sonoma County,,US,CA,Sonoma County,Russian River Valley,0,,750 ml,,,,,,
,Groth,Cab-Sauv,1991,,,US,CA,Napa Valley,,1,,750 ml,,,90,86,,
,Guilliams,Cab-Sauv,1991,,(Backyard),US,CA,Napa,Spring Mountain,14,,750 ml,,,,88,,
,Hedges,Cab-Merl,1993,,,US,WA,,,3,,750 ml,,,,,,
,Hedges,Cab-Merl,1994,,,US,WA,,,2,,750 ml,,,,,,
,Hess,Cab-Sauv,1990,The Hess Collection,Mt. Veeder,US,CA,Napa Valley,,4,,750 ml,,only 300 cases made according to Wine Spectator,90?,,,
,Hess,Cab-Sauv,1992,Select,,US,CA,Napa Valley,,0,,750 ml,,,,,,
,J. Lohr,Cab-Sauv,1990,Cypress,,US,CA,,,5,,750 ml,,,,,,
,Jordan,Cab-Sauv,1991,,,US,CA,Sonoma,,2,,750 ml,,,,,,
,Kendall-Jackson,Merlot,1992,Vintner's Reserve,,US,CA,,,0,,750 ml,,,,,,
,Lakespring,Cab-Sauv,1990,,,US,CA,Napa,,1,,750 ml,,,,,,
,Lakespring,Merlot,1990,,Yount Mill,US,CA,Napa,,7,,750 ml,,,,,,
,Latah Creek,Cab-Sauv,1990,,,US,WA,,,4,,750 ml,,,,,,
,Latah Creek,Merlot,1992,Limited Bottling,,US,WA,,,2,,750 ml,,,,,,
,Laurel Glen,Cab-Sauv,1992,Terra Rosa - North Coast,,US,CA,,,5,,750 ml,,,,,,
,Luigi Ferrando,Barolo,1989,Carema,,Italy,Piedmont,,,0,,750 ml,,"Drank 10/95 - good flavor, a bit thin",,,,
,Lytton Springs,Zinfandel,1991,Sonoma County,,US,CA,Sonoma,,2,,750 ml,,,,,,
,Lytton Springs,Zinfandel,1992,Sonoma County,,US,CA,Sonoma,,2,,750 ml,,bought 11/95 - $14.50,89,,,
,Lytton Springs,Zinfandel,1993,Sonoma County,,US,CA,Sonoma,,2,,750 ml,,,,,,
,Marietta,Zinfandel,n/a,,,US,CA,,,0,,750 ml,,,,,,
,Mas De Rey,Cuvee,1990,Cuvee Camargue,,France,Bouches Des Rhone,,,4,,750 ml,,Excellent value at $6,,,,
,Meridian,Cab-Sauv,1991,,,US,CA,,,0,,,,,,,,
,Michel Lynch,Bordeaux,1992,,,France,,,,2,,750 ml,,,,,,
,Mondavi,Cab-Sauv,1991,Opus One,,US,CA,Napa Valley,,1,,750 ml,,,93,,,
,Mondavi,Cab-Sauv,1992,Opus One,,US,CA,Napa Valley,,1,,750 ml,,,,,,
,Newton,Cab-Sauv,1990,,,US,CA,Napa,St. Helena,2,,750 ml,,,,,,
,Pedroncelli,Zinfandel,1994,Mother Clone,,US,CA,Sonoma,Dry Creek Valley,2,,750 ml,,,,88+,,
,"Phelps, Joseph",Meritage,1992,Insignia,,US,CA,Napa,St. Helena,2,,750 ml,,,,,,
,Preston,Zinfandel,1993,Old Vines Old Clones,,US,CA,Sonoma,Dry Creek Valley,2,,750 ml,,bought 11/95 - $9.60, ,88,,
,Ravenswood,Zinfandel,1993,Wood Road Belloni,Belloni...,US,CA,Sonoma,Russian River Valley,2,,750 ml,,bought 11/95 - $18, ,92+,,
,Renwood,Zinfandel,1993,Old Vine,,US,CA,Amador County,,5,,750 ml,,bought 11/95 - $13, ,90,,
,Ridge,Zinfandel,1982,,,US,CA,Howell Mountain,,0,,750 ml,,"Drank 3Q95 - Nicely matured, smooth with spicy fruit character.",,,,
,Ridge,Zinfandel,1993,Lytton Springs,,US,CA,Sonoma,Dry Creek Valley,4,,750 ml,,bought 11/95 - $20, ,92,,
,Ridge,Zinfandel,1993,Pagani Ranch,,US,CA,Sonoma,Dry Creek Valley,14,,750 ml,,, ,,,
,Ridge,Zinfandel,1993,Paso Robles,,US,CA,Sonoma,Dry Creek Valley,2,,750 ml,,bought 1/96, ,,,
,Rodney Strong,Cab-Sauv,1992,Sonoma County,,US,CA,Sonoma,,2,,750 ml,,,,,,
,Rosemount Estate,Merlot,1992,,,Australia,South Eastern,,,5,,750 ml,,,,,,
,Rosemount Estate,Shiraz,1992,,,Australia,South Eastern,,,24,,750 ml,,,89,,,
,Rosenblum,Zinfandel,1994,Paso Robles,Richard Suaret Vineyard,US,CA,Paso Robles,San Miguel,2,,750 ml,,,,90,,now-2001
,Rosenblum,Zinfandel,n/a,Vintner's Cuvee XII,,US,CA,,,2,,750 ml,,,,88,,
,Rosenblum,Zinfandel,n/a,,,US,,,,0,,750 ml,,,,,,
,Saintsbury,Pinot Noir,1993,Carneros,,US,CA,Carneros,,0,,750 ml,,,,,,
,Sausal,Zinfandel,1994,,,US,CA,Alexander Valley,,2,,750 ml,,,,88,,
,Shafer,Cab-Sauv,1990,Hillside Select,,US,CA,Napa,Stag's Leap District,1,,750 ml,,,,,,
,Shenandoah,Cab-Sauv,1992,Amador County,,US,CA,Amador County,,0,,750 ml,,"Tasted on 1/15/95 - Thin, decent fruit tase but not a powerhouse",,,,
,Simi,Cab-Sauv,1991,,,US,CA,Sonoma,Healdsburg,1,,375 ml,,,,,,
,Simi,Cab-Sauv,1991,,,US,CA,Sonoma,Healdsburg,12,,750 ml,,bought 11/95 - $12,,,,
,Simi,Cab-Sauv,1992,,,US,CA,Sonoma,Healdsburg,1,,750 ml,,bought 11/95 - $15,,,,
,Solis,Merlot,1992,,,US,CA,Santa Clara,,0,,750 ml,,,,,,
,Stags Leap,Cab-Sauv,1990,SLV,SLV,US,CA,Napa,Stag's Leap,6,,750 ml,,,89,,,
,Stags Leap,Cab-Sauv,1992,FAY,FAY,US,CA,Napa,Stag's Leap,2,,750 ml,,,,,,
,Steele,Zinfandel,1993,Pacini Vineyard,Pacini,US,CA,Lake Cnty,Mendocino,2,,750 ml,,bought 11/95- $12.80, ,88,,
,Steele,Zinfandel,1993,Catfish Vineyard,Catfish,US,CA,Lake Cnty,Clear Lake,1,,750 ml,,bought 11/95- $12.80, ,90,,
,Toro Collegiata,Tinto,1990,,,Spain,,,,0,,750ml,,Tasted 2Q95- 2 bad bottles! returned to store...,,,,
,Topolos,Zinfandel,1994,,,US,CA,Sonoma,Russian River,2,,750 ml,,,,86,,before '99
,Trefethen VIneyards,Cab-Sauv,1991,Estate Bottled,Napa Valley,US,CA,Napa,,1,,750 ml,,bought 10/95,,,,
,Vidal Fleury,Burgundy,1993,Cotes Du Rhone,,France,Cotes Du Rhone,,,0,,,,,,,,
,J. Lohr,Merlot,1995,Cypress,,US,CA,San Jose,,2,9/22/1997,750 ml,,,,,,
,Sobon Estate,Zinfandel,1995,Fiddletown,Fiddletown,US,CA,Amador County,,2,9/22/1997,750 ml,,,,,,
,Rosenblum,Zinfandel,n/a,Vintners Cuvee XV,,US,CA,,,2,9/22/1997,750 ml,,,,,,
,Stag's Leap,White Riesling,1996,,,US,CA,Napa,Stag's Leap,1,9/22/1997,750 ml,,,,,,
,Ridge,Zinfandel,1995,Sonoma Station,,US,CA,Sonoma,,2,9/22/1997,750 ml,,,,,,
,Chateau Souverain,Cab-Sauv,1994,Alexander Valley,,US,CA,Alexander Valley,,2,9/22/1997,750 ml,,,,,,
,Storybook Mountain,Zinfandel,1994,Mayacamas Range,,US,CA,Napa,Calistoga,1,9/22/1997,750 ml,,,,,,
,J. Lohr,Cab-Sauv,1994,Seven Oaks,,US,CA,San Jose,Paso Robles,1,9/22/1997,750 ml,,,,,,
,Stag's Leap,Cab-Sauv,1994,Napa Valley,,US,CA,Napa,Stag's Leap,2,9/22/1997,750 ml,,,,,,
,Stonestreet,Cab-Sauv,1994,Alexander Valley,,US,CA,Sonoma,Alexander Valley,2,9/22/1997,750 ml,,,,,,
,Liberty School,Cab-Sauv,1995,Coastal Oaks,,US,CA,San Jose,Paso Robles,1,9/22/1997,750ml,,,,,,
,B.R. Cohn,Cab-Sauv,1994,10th Anniversary,Estate Olive Hill,US,CA,Sonoma,Glen Ellen,2,9/22/1997,750ml,,,,,,
,Casa Donoso,Cab-Sauv,1993,Maule Valley,,Chile,Maule Valley,,,2,9/22/1997,750ml,,,,,,
,Beaulieu Vineyard,Cab-Sauv,1994,Rutherford,,US,CA,Napa,,1,9/22/1997,750ml,,,,,,
,Trefethen VIneyards,Cab-Sauv,1995,Eshcol,,US,CA,Napa,,1,9/22/1997,750ml,,,,,,
,Preston,Zinfandel,1994,Old Vines Old Clones,,US,CA,Sonoma,Dry Creek Valley,1,9/22/1997,750ml,,,,,,
,Mas Des Aveylans,Syrah,1995,Rhone (Du Gard),,France,Vin De Pays du Gard,,,2,9/22/1997,750ml,,,,,,
,x,bordeaux,,,,,,,,,,,,,,,,
y,Chateau Eugenie,bordeaux,1994,Cuvee Reservee d'lAieul,,France,Cahor,,,,,375ml,,,,,,
y,Chateau Branaire--Ducru,Bordeaux,2004,,,France,Saint Julien,,,2,,750ml,,,,,,
y,Chateau Beau-Sejour Becot,Bordeaux,2004,,,France,Saint Emilion,,,2,,750 ml,,,,,,
y,Chateau Malescot St Exupery,Bordeaux,2004,,,France,Margaux,,,,,750 ml,,,,,,
y,Chateau Jean-Faure,Bordeaux,2005,,,France,Saint Emilion,,,,,750 ml,,,,,,
y,Chateau Picau-Perna,Bordeaux,2003,,,France,Saint Emilion,,,2,,750 ml,,,,,,
y,Chateau LaCroix De Millorit,Bordeaux,2000,Cotes De Bourg,,France,Cotes De Bourg,,,2,,750 ml,,,,,,
y,Chateau LaCroix De Millorit,Bordeaux,2003,Cotes De Bourg,,France,Cotes De Bourg,,,2,,750 ml,,,,,,
y,Chateau Lascombes,Bordeaux,2003,,,France,Margaux,,,2,,750 ml,,,,,,
y,Chateau De Reignac,Bordeaux,2000,,,France,Bordeaux Superior,,,2,,750 ml,,,,,,
y,Ch.Greysac,Bordeaux,2001,,,France,Medoc,,,3,,750 ml,,,,,,
y,Chateau Corbin,Bordeaux,2003,,,France,Saint Emilion,,,2,,750 ml,,,,,,
y,Ch. Les Farcies du Pech,Bordeaux,2000,Pecharmant,,France,Pecharmant,,,2,,750 ml,,,,,,
y,Chateau Seguin,Bordeaux,2009,,,France,Pessac-leognan,,,4,,375ml,,,,,,
y,Chateau Sociando Mallet,Bordeaux,2013,La Demoiselle de Sociando Mallet,,France,Bordeaux Superior,,,2,,750 ml,,,,,,
y,La Fleur Ribeyrolles,Bordeaux,2013,Bordeaux Superieur,,France,Bordeaux Superior,,,2,,750 ml,,,,,,
y,Chateau de Viaud,Bordeaux,2002,Lalande de pomerol,,France,Pomerol,,,1,,750 ml,,,,,,
y,Chateau Brane Cantenac,Bordeaux,2008,,,France,Margaux,,,1,,750 ml,,,,,,
y,Chateau la Tour Figeac,Bordeaux,2007,,,France,Saint Emilion,,,2,,750 ml,,,,,,
y,Chateau Grand Mayne,Bordeaux,2008,,,France,Saint Emilion,,,1,,750 ml,,,,,,
y,Chateau Malescasse,Bordeaux,2008,,,France,Haut-Medoc,,,1,,750 ml,,,,,,
y,Chateau Malescasse,Bordeaux,2010,,,France,Haut-Medoc,,,1,,750 ml,,,,,,
y,Chateau D'Aiguilhe,Bordeaux,2005,,,France,Cotes De Castillon,,,1,,750 ml,,,,,,
y,Chateau Tawzinat Hermitage,Bordeaux,2009,,,France,Saint Emilion,,,2,,750 ml,,,,,,
y,Chateau Cote Montpezat,Bordeaux,2009,,,France,Castillon,,,1,,750 ml,,,,,,
y,Ch.d'Armailhac,Bordeaux,2006,,,France,Paulliac,,,1,,750 ml,,,89,85,1997+,1994-2003
y,Chateau Quinalt,Bordeaux,2005,,,France,Saint Emilion,,,1,,750 ml,,,,,,
y,Chateau Lilian Ladouys,Bordeaux,2010,,,France,Saint Estephe,,,1,,750 ml,,,,,,
y,Chateau Peyrabon,Bordeaux,2012,,,France,Haut-Medoc,,,1,,750 ml,,,,,,
y,Chateau Tour Saint Christophe,Bordeaux,2014,,,France,Saint Emilion,,,2,,750 ml,,,,,,
y,Chateau Haut-Bergey,Bordeaux,2012,,,France,Pessac-leognan,,,1,,750 ml,,,,,,
y,Chateau Devise d'Ardilley,Bordeaux,2014,,,France,Bordeaux Superior,,,3,,750 ml,,,,,,
y,Chateau D'Hanteillan,Bordeaux,2014,,,France,Haut-Medoc,,,2,,750 ml,,,,,,
y,Chateau Bruni,Bordeaux,2014,,,France,Bordeaux Superior,,,1,,750 ml,,,,,,
y,Chateau Haut Barrail,Bordeaux,2014,,,France,Medoc,,,1,,750 ml,,,,,,
y,Chateau Latour Camblanes,Bordeaux,2015,,,France,Bordeaux Superior,,,1,,750 ml,,,,,,
y,Chateau de Bouchet,Bordeaux,2016,La Rentiere - Marc Lurton,,France,Bordeaux Superior,,,1,,750 ml,,,,,,
y,Chateau Reynier,Bordeaux,2015,Marc Lurton,,France,Bordeaux Superior,,,1,,750 ml,,,,,,
y,Chateau Reynier,Bordeaux,2016,Marc Lurton,,France,Bordeaux Superior,,,1,,750 ml,,,,,,
y,Wolf Nickel,Bordeaux,2007,,,US,,,,1,,750 ml,,,,,,
y,Silver Oak,Cabernet,2012,,,US,Alexander Valley,,,1,,,,,,,,
y,Etude,Merlot,2002,,,US,Napa,,,1,,,,,,,,
y,Caymus,Cabernet,2015,,,US,Napa,Rutherford,,1,,,,,,,,
y,Caymus,Cabernet,2016,,,US,Napa,Fairfield,,1,,,,,,,,
y,Caymus,Cabernet,2013,,,US,Napa,Rutherford,,1,,1 Liter,,,,,,
y,Joseph Phelps Insignia,Cabernet,1993,Insignia,,US,Napa,,,1,,,,,,,,
y,Joseph Phelps Insignia,Cabernet,1994,Insignia,,US,Napa,,,1,,,,,,,,
y,Opus One,Cabernet,1994,,,US,Napa,,,1,,,,,,,,